document,customer,channel,document_id,event,time,.order
Company presentation.pdf,407,email,407,complete,2018-01-27T12:11:36Z,3128
order,292,email,2521,start,2017-10-15T07:36:24Z,2521
working with us,214,showpad,1948,complete,2017-07-29T20:18:45Z,4669
Product A,170,showpad,670,complete,2017-06-18T04:14:55Z,3391
product A - details.pdf,87,showpad,1044,start,2017-04-08T09:39:42Z,1044
Product A,306,conversation,806,complete,2017-10-22T23:42:22Z,3527
order,204,showpad,2433,complete,2017-07-26T00:45:21Z,5154
working with us,217,showpad,1951,start,2017-08-05T10:45:47Z,1951
order,232,email,2461,start,2017-08-22T15:38:38Z,2461
survey.pdf,175,showpad,1321,complete,2017-06-22T04:39:35Z,4042
Product B.pdf,295,showpad,1635,complete,2017-10-15T05:40:55Z,4356
survey.pdf,398,email,1426,complete,2018-01-29T09:07:13Z,4147
Product A,252,email,752,complete,2017-09-07T09:44:55Z,3473
survey.pdf,21,email,1248,complete,2017-01-21T21:42:15Z,3969
order,418,showpad,2647,complete,2018-02-08T21:53:50Z,5368
order,176,showpad,2405,complete,2017-06-28T16:12:34Z,5126
Product A,6,email,506,complete,2017-01-05T21:27:44Z,3227
order,301,showpad,2530,complete,2017-10-21T03:19:22Z,5251
Company presentation.pdf,333,showpad,333,complete,2017-11-15T18:45:18Z,3054
survey.pdf,210,email,1340,complete,2017-07-26T07:36:36Z,4061
Company presentation.pdf,361,email,361,start,2017-12-05T18:53:44Z,361
product A - details.pdf,409,conversation,1193,complete,2018-02-01T22:35:31Z,3914
survey.pdf,158,email,1310,start,2017-06-12T11:19:33Z,1310
Company presentation.pdf,233,showpad,233,start,2017-08-15T18:36:09Z,233
Product A,401,conversation,901,start,2018-01-25T04:32:05Z,901
Company presentation.pdf,430,showpad,430,start,2018-02-17T15:44:17Z,430
Product A,282,showpad,782,start,2017-09-30T18:52:31Z,782
working with us,148,showpad,1882,start,2017-06-01T20:11:48Z,1882
working with us,200,showpad,1934,complete,2017-07-19T10:33:42Z,4655
order,165,showpad,2394,start,2017-06-15T12:07:28Z,2394
Product A,340,showpad,840,complete,2017-11-20T11:11:00Z,3561
Company presentation.pdf,350,showpad,350,complete,2017-11-24T13:18:39Z,3071
Company presentation.pdf,31,showpad,31,complete,2017-02-05T05:22:43Z,2752
survey.pdf,348,email,1400,start,2017-11-25T21:54:56Z,1400
order,409,showpad,2638,complete,2018-02-08T06:33:06Z,5359
Product A,322,email,822,complete,2017-11-06T00:51:29Z,3543
working with us,197,showpad,1931,start,2017-07-16T18:06:29Z,1931
order,362,showpad,2591,complete,2017-12-14T02:59:29Z,5312
order,220,showpad,2449,complete,2017-08-05T22:19:33Z,5170
order,476,showpad,2705,complete,2018-04-24T15:49:16Z,5426
Product B.pdf,356,email,1663,start,2017-12-06T13:34:32Z,1663
Product A,239,showpad,739,start,2017-08-21T15:21:08Z,739
survey.pdf,351,email,1402,complete,2017-12-02T20:52:58Z,4123
product A - details.pdf,260,email,1121,complete,2017-09-22T00:40:33Z,3842
Company presentation.pdf,342,showpad,342,complete,2017-11-21T09:28:02Z,3063
Product A,203,showpad,703,start,2017-07-18T14:10:06Z,703
Company presentation.pdf,451,conversation,451,complete,2018-03-09T00:29:10Z,3172
working with us,486,showpad,2220,complete,2018-04-26T03:42:18Z,4941
Company presentation.pdf,252,showpad,252,complete,2017-09-06T11:49:55Z,2973
order,66,email,2295,start,2017-03-20T12:11:39Z,2295
Company presentation.pdf,484,showpad,484,complete,2018-04-22T16:18:42Z,3205
Product B.pdf,61,email,1506,start,2017-03-14T02:29:41Z,1506
product A - details.pdf,479,email,1230,complete,2018-04-19T05:08:31Z,3951
Product A,430,showpad,930,complete,2018-02-18T18:49:39Z,3651
Company presentation.pdf,269,showpad,269,start,2017-09-21T03:53:43Z,269
Company presentation.pdf,373,showpad,373,start,2017-12-17T10:28:40Z,373
product A - details.pdf,446,showpad,1213,complete,2018-03-04T12:54:28Z,3934
working with us,88,showpad,1822,complete,2017-04-06T09:37:13Z,4543
order,336,showpad,2565,start,2017-11-25T14:40:34Z,2565
working with us,151,conversation,1885,complete,2017-06-05T06:29:40Z,4606
order,223,showpad,2452,complete,2017-08-09T01:42:32Z,5173
Company presentation.pdf,485,showpad,485,complete,2018-04-24T03:31:32Z,3206
order,430,showpad,2659,complete,2018-02-22T07:16:29Z,5380
product A - details.pdf,238,showpad,1113,start,2017-08-22T08:21:09Z,1113
product A - details.pdf,191,email,1093,start,2017-07-09T00:55:50Z,1093
working with us,359,showpad,2093,start,2017-12-07T07:11:46Z,2093
Product A,28,email,528,start,2017-01-28T20:48:39Z,528
Product A,14,email,514,complete,2017-01-13T11:30:05Z,3235
working with us,41,conversation,1775,complete,2017-02-21T11:20:09Z,4496
Company presentation.pdf,78,email,78,start,2017-03-25T18:07:50Z,78
survey.pdf,308,showpad,1378,complete,2017-11-02T08:09:37Z,4099
order,281,showpad,2510,start,2017-10-08T21:42:53Z,2510
Company presentation.pdf,350,showpad,350,complete,2017-11-24T13:18:39Z,3071
working with us,203,showpad,1937,complete,2017-07-25T18:46:27Z,4658
Product A,465,email,965,start,2018-03-24T20:33:07Z,965
Product B.pdf,288,showpad,1629,complete,2017-10-08T21:09:57Z,4350
Company presentation.pdf,87,showpad,87,start,2017-04-03T04:28:13Z,87
Product B.pdf,467,email,1717,complete,2018-04-13T00:40:34Z,4438
order,394,showpad,2623,start,2018-01-25T10:04:29Z,2623
product A - details.pdf,278,email,1127,start,2017-09-28T22:58:23Z,1127
Company presentation.pdf,71,showpad,71,start,2017-03-18T13:14:54Z,71
order,312,showpad,2541,complete,2017-11-02T20:26:08Z,5262
order,255,showpad,2484,complete,2017-09-18T18:15:31Z,5205
order,133,showpad,2362,complete,2017-05-21T18:51:25Z,5083
Company presentation.pdf,377,showpad,377,complete,2017-12-26T20:24:26Z,3098
Product A,289,showpad,789,complete,2017-10-10T10:15:59Z,3510
order,320,showpad,2549,complete,2017-11-10T22:17:44Z,5270
working with us,427,showpad,2161,complete,2018-02-21T09:27:06Z,4882
order,330,email,2559,start,2017-11-19T17:02:44Z,2559
product A - details.pdf,311,conversation,1142,start,2017-11-01T21:29:52Z,1142
survey.pdf,116,email,1291,complete,2017-05-01T05:32:37Z,4012
Product B.pdf,332,showpad,1654,complete,2017-11-16T16:59:45Z,4375
survey.pdf,6,email,1241,complete,2017-01-10T11:49:09Z,3962
Product B.pdf,148,showpad,1552,complete,2017-06-01T14:48:28Z,4273
Product A,130,showpad,630,complete,2017-05-08T18:38:59Z,3351
Product A,280,conversation,780,complete,2017-09-29T19:05:20Z,3501
Product A,23,conversation,523,start,2017-01-25T12:40:41Z,523
Product B.pdf,147,showpad,1551,complete,2017-05-25T15:00:48Z,4272
Product A,162,email,662,start,2017-06-10T21:02:36Z,662
Product A,362,showpad,862,complete,2017-12-07T04:49:07Z,3583
order,348,showpad,2577,complete,2017-11-27T06:53:23Z,5298
Product B.pdf,84,showpad,1514,complete,2017-04-03T17:09:13Z,4235
working with us,303,showpad,2037,start,2017-10-22T01:18:01Z,2037
survey.pdf,175,showpad,1321,start,2017-06-21T23:36:44Z,1321
order,149,showpad,2378,complete,2017-06-05T06:46:09Z,5099
product A - details.pdf,454,email,1218,start,2018-03-19T15:04:23Z,1218
Product B.pdf,95,showpad,1523,start,2017-04-09T12:22:02Z,1523
working with us,327,showpad,2061,complete,2017-11-16T20:23:08Z,4782
Company presentation.pdf,284,email,284,start,2017-10-01T16:43:43Z,284
order,282,email,2511,complete,2017-10-08T23:08:14Z,5232
order,155,showpad,2384,start,2017-06-05T15:58:53Z,2384
survey.pdf,438,email,1446,complete,2018-02-25T04:28:43Z,4167
survey.pdf,421,showpad,1437,start,2018-02-12T23:53:46Z,1437
order,291,email,2520,complete,2017-10-20T08:23:29Z,5241
Company presentation.pdf,246,showpad,246,start,2017-08-27T17:24:15Z,246
working with us,301,showpad,2035,start,2017-10-20T21:05:59Z,2035
order,440,showpad,2669,start,2018-03-01T00:52:42Z,2669
working with us,20,showpad,1754,start,2017-01-22T01:07:52Z,1754
working with us,143,showpad,1877,start,2017-05-25T05:53:21Z,1877
Company presentation.pdf,327,showpad,327,start,2017-11-12T04:23:27Z,327
order,131,email,2360,start,2017-05-19T17:20:52Z,2360
Product A,183,showpad,683,start,2017-06-27T10:07:36Z,683
Product A,497,email,997,complete,2018-05-03T22:29:46Z,3718
order,435,showpad,2664,complete,2018-02-25T14:15:58Z,5385
Product A,478,showpad,978,start,2018-04-14T08:13:52Z,978
survey.pdf,352,email,1403,complete,2017-12-03T01:07:49Z,4124
product A - details.pdf,392,showpad,1186,start,2018-01-14T08:37:36Z,1186
product A - details.pdf,186,email,1090,complete,2017-07-02T13:25:32Z,3811
Company presentation.pdf,42,email,42,complete,2017-02-13T20:55:45Z,2763
Product B.pdf,211,email,1581,complete,2017-07-28T00:48:38Z,4302
order,152,showpad,2381,start,2017-06-05T04:20:57Z,2381
Product A,374,showpad,874,start,2017-12-18T02:09:23Z,874
Product A,481,conversation,981,start,2018-04-18T00:52:02Z,981
product A - details.pdf,26,email,1014,start,2017-02-02T05:59:23Z,1014
survey.pdf,386,email,1420,start,2018-01-14T04:33:34Z,1420
Company presentation.pdf,147,showpad,147,start,2017-05-24T09:05:09Z,147
working with us,265,showpad,1999,start,2017-09-21T00:02:52Z,1999
product A - details.pdf,479,email,1230,complete,2018-04-19T05:08:31Z,3951
Company presentation.pdf,351,showpad,351,complete,2017-11-25T20:40:00Z,3072
Product A,189,conversation,689,start,2017-07-05T18:10:04Z,689
working with us,237,conversation,1971,complete,2017-08-23T03:30:37Z,4692
product A - details.pdf,454,email,1218,start,2018-03-19T15:04:23Z,1218
Product B.pdf,465,conversation,1715,complete,2018-03-26T06:51:46Z,4436
Product A,472,email,972,start,2018-04-08T23:15:03Z,972
survey.pdf,122,email,1295,start,2017-05-06T12:46:09Z,1295
working with us,333,showpad,2067,complete,2017-11-19T17:02:43Z,4788
Company presentation.pdf,69,showpad,69,start,2017-03-17T05:57:33Z,69
order,336,conversation,2565,complete,2017-11-25T16:51:35Z,5286
order,8,conversation,2237,complete,2017-01-10T14:37:47Z,4958
product A - details.pdf,459,email,1219,start,2018-03-19T18:54:44Z,1219
Company presentation.pdf,463,conversation,463,complete,2018-03-20T21:44:34Z,3184
Product B.pdf,263,email,1615,complete,2017-09-20T08:08:58Z,4336
Product A,304,showpad,804,complete,2017-10-21T19:40:50Z,3525
Product A,165,showpad,665,start,2017-06-13T04:40:47Z,665
product A - details.pdf,305,email,1139,complete,2017-10-24T09:28:22Z,3860
working with us,5,showpad,1739,complete,2017-01-09T17:09:43Z,4460
Product A,27,showpad,527,start,2017-01-29T05:38:32Z,527
Product B.pdf,494,showpad,1731,start,2018-05-02T12:24:41Z,1731
